raw_affiliation_string,to remove
"Center for Health Economics Research Hanover (CHERH), Hanover, Germany. stolz.maike@mh-hannover.de","Hochschule für Musik, Theater und Medien Hannover"
"Center for Individualized Infection Medicine CiiM, Hanover, Germany",Medizinische Hochschule Hannover (MHH)
Center for Individualized Medicine,Medizinische Hochschule Hannover (MHH)
"Center for Individualized and Genomic Medicine Research (CIGMA) (H.G., J. Luzum, T.D.B., K.W., D.E.L.), Henry Ford Hospital",Medizinische Hochschule Hannover (MHH)
"Center for Marine Sensors, Institute for Chemistry and Biology of the Marine Environment, University of Oldenburg, Wilhelmshaven, Germany. Electronic address: oliver.wurl@uin-oldenburg.de",Jade Hochschule Wilhelmshaven/Oldenburg/Elsfleth
"Center for Nephrology, Hypertension, and Metabolic Diseases  Hannover Germany",Medizinische Hochschule Hannover (MHH)
"Center for Nephrology, Hypertension, and Metabolic Diseases, Heidering 31, 30625, Hannover, Germany. dr.schlieper@dialyse-hannover.de",Medizinische Hochschule Hannover (MHH)
"Center for Rheumatology & Pain-Medicine, Hannover, Germany",Medizinische Hochschule Hannover (MHH)
Center for Structural Biology and Department of Chemistry,Medizinische Hochschule Hannover (MHH)
"Center for Structural Systems Biology, Hamburg, Germany. rosenthal@bnitm.de",Medizinische Hochschule Hannover (MHH)
"Center of Cellular Nanoanalytic Osnabrück (CellNanOs), Osnabrück University, 49076 Osnabrück, Germany",Universität Osnabrück
"Center of Cellular Nanoanalytic Osnabrück (CellNanOs), Osnabrück University, Osnabrück, Germany. florian.froehlich@uos.de",Hochschule Osnabrück
"Center of Nephrology, Klinikum Offenburg , Offenburg ,",Carl von Ossietzky Universität Oldenburg
"Center of Pharmacology and Toxicology, Hannover Medical School, 30625 Hannover, Germany. Electronic address: borlak.juergen@mh-hannover.de",Medizinische Hochschule Hannover (MHH)
"Center of Physics and Chemistry of New Materials, Department of Physics, Osnabrück University 2 , Barbarastraße 7, 49076 Osnabrück, Germany",Universität Osnabrück
"Center of Radiotherapy Hildesheim/Goslar, Hildesheim, Germany",Stiftung Universität Hildesheim
"Central Department of Hygiene, HELIOS Hospital Hildesheim, Hildesheim, Germany",Stiftung Universität Hildesheim
"Central Metallurgical R&D Institute, CMRDI, P.O. Box 87, Helwan, Cairo 11421, Egypt; Photocatalysis and Nanotechnology Unit, Institute of Technical Chemistry, Leibniz Hannover University, Callinstr. 3, 30167 Hannover, Germany. Electronic address: adelali141@yahoo.com",Gottfried Wilhelm Leibniz Universität Hannover
Centre for Biomolecular Drug Research (BMWZ)  Schneiderberg 38 30167 Hannover Germany,Medizinische Hochschule Hannover (MHH)
"Centre for Earth System Science and Sustainability, Hamburg, Germany",Medizinische Hochschule Hannover (MHH)
"Centre for Experimental and Clinical Infection Research, TWINCORE, Hannover, Germany",Medizinische Hochschule Hannover (MHH)
"Centre for Individualised Infection Medicine, Department of Computational Biology for Individualised Medicine, Hannover, Germany.",Medizinische Hochschule Hannover (MHH)
"Centre for Individualised Infection Medicine, Hannover, Germany",Medizinische Hochschule Hannover (MHH)
"Centre for Modern Indian Studies, University of Goettingen, Goettingen, Germany",Georg-August-Universität Göttingen
"Centre for Modern Indian Studies, University of Göttingen, Göttingen, Germany",Georg-August-Universität Göttingen
Centre for Molecular and Structural Biochemistry,Medizinische Hochschule Hannover (MHH)
"Centre for Poverty, Equity and Growth, University of Goettingen, Goettingen, Germany",Georg-August-Universität Göttingen
Centre for Structural Science,Medizinische Hochschule Hannover (MHH)
Centre for Structural Science and,Medizinische Hochschule Hannover (MHH)
Centre for Structural Systems Biology,Medizinische Hochschule Hannover (MHH)
"Centre for Structural Systems Biology (CSSB), 22607 Hamburg & Leibniz Institute for Experimental Virology (HPI), 20251 Hamburg, Germany",Medizinische Hochschule Hannover (MHH)
"Centre for Structural Systems Biology ,",Medizinische Hochschule Hannover (MHH)
"Centre for Structural Systems Biology, Hamburg, Germany",Medizinische Hochschule Hannover (MHH)
Centre for Systems Chemistry,Medizinische Hochschule Hannover (MHH)
Centre for Vascular Medicine  Hamburg Germany,Medizinische Hochschule Hannover (MHH)
"Centre of Biodiversity and Sustainable Land Use, University of Göttingen, Büsgenweg 1, 37077, Göttingen, Germany",Georg-August-Universität Göttingen
"Chair Group of Forest and Nature Conservation Policy, Georg-August-University Göttingen, Büsgenweg 3, Göttingen D-37077, Germany",Georg-August-Universität Göttingen
"Chair of Computational Science and Simulation Technology, Department of Mathematics and Physics, Leibniz University Hannover, 30167, Hannover, Germany",Gottfried Wilhelm Leibniz Universität Hannover
"Chair of Computational Science and Simulation Technology, Department of Mathematics and Physics, Leibniz Universität Hannover, Appelstraße 11,30157 Hannover, Germany",Gottfried Wilhelm Leibniz Universität Hannover
"Chair of Computational Science and Simulation Technology, Institute of Photonics, Department of Mathematics and Physics, Leibniz Universität Hannover, Appelstraße 11, 30167 Hannover, Germany",Gottfried Wilhelm Leibniz Universität Hannover
"Chair of Computational Science and Simulation Technology, Institute of Photonics, Department of Mathematics and Physics, Leibniz Universität Hannover, Appelstraße 11, Hannover 30167, Germany",Gottfried Wilhelm Leibniz Universität Hannover
"Chair of Decision Support, Technische Universität Braunschweig, Germany",Technische Universität Braunschweig
"Chair of Landscape Ecology, University of Vecta, P.O.B. 1553, 49364, Vechta, Germany",Universität Vechta
"Chair of Production and Logistics Management, Department for Business Administration, Georg-August-University of Göttingen, Platz der Göttinger Sieben 3, 37073, Göttingen, Germany",Georg-August-Universität Göttingen
"Chair of Production and Logistics Management, Department for Business Administration, Georg-August-University of Göttingen, Platz der Göttinger Sieben 3, 37073, Göttingen, Germany. matthias.klumpp@uni-goettingen.de",Georg-August-Universität Göttingen
"Chair of Spatial Data Science and Statistical Learning, Georg-August-Universität Göttingen, Platz der Göttinger Sieben 3, 37073, Göttingen, Germany. tbs.hepp@fau.de",Georg-August-Universität Göttingen
"Chair of Statistics, Göttingen University, Humboldtallee 3, 37073 Göttingen, Germany",Georg-August-Universität Göttingen
"Chair of Sustainable Manufacturing and Life Cycle Engineering, Institute of Machine Tools and Production Technology, Technische Universität Braunschweig, Langer Kamp 19b, 38106 Braunschweig, Germany",Technische Universität Braunschweig
"Chair of Technical Thermodynamics and Energy Efficient Material Treatment, Institute of Energy Process Engineering and Fuel Technology, Clausthal University of Technology, Agricolastrasse 4, 38678 Clausthal-Zellerfeld, Germany",Technische Universität Clausthal
"Chances for Nature (CfN), Goettingen 37073, Germany. E-mail: roos@dpz.eu",Technische Universität Clausthal
Chemical and Electrochemical Process Engineering Technische Universität Clausthal  Clausthal‐Zellerfeld Germany,Technische Universität Clausthal
"Children’s Hospital, Hannover Medical School, Hannover, Germany",Medizinische Hochschule Hannover (MHH)
Civis» hintersinnig und öffentlich,Carl von Ossietzky Universität Oldenburg
Claudine Auger est journaliste,Technische Universität Clausthal
"Clausthal Centre for Material Technology, Leibnizstraße 9, 38678 Clausthal-Zellerfeld, Germany",Technische Universität Clausthal
"Clausthal Centre of Materials Technology, Agricolastraße 2, 38678 Clausthal-Zellerfeld, Germany",Technische Universität Clausthal
"Clausthal Research Center for Environmental Technologies, Leibnizstraße 21+23, 38678 Clausthal-Zellerfeld, Germany",Technische Universität Clausthal
Clausthal Technical University Department of Mineral and Waste Processing  Walther-Nernst-Straße 9 38678 Clausthal-Zellerfeld Germany,Technische Universität Clausthal
"Clausthal Technical University, Department of Mineral and Waste Processing, Walther-Nernst-Straße 9, 38678 Clausthal-Zellerfeld, Germany",Technische Universität Clausthal
Clausthal University of Technology,Technische Universität Clausthal
"Clausthal University of Technology, Germany",Technische Universität Clausthal
"Clausthal University, Germany",Technische Universität Clausthal
"Clinic Oldenburg, Heart-Circulation Centre, Oldenburg, Germany",Carl von Ossietzky Universität Oldenburg
"Clinic Oldenburg, Heart-Circulation-Center , Oldenburg ,",Carl von Ossietzky Universität Oldenburg
"Clinic Oldenburg, Oldenburg, Germany",Carl von Ossietzky Universität Oldenburg
"Clinic for Cardiac Surgery, University Clinic Oldenburg, 26129 Oldenburg, Germany",Carl von Ossietzky Universität Oldenburg
"Clinic for Cardiac Surgery, University Clinic Oldenburg, 26133 Oldenburg, Germany",Carl von Ossietzky Universität Oldenburg
"Clinic for Cardiology and Pneumology, Georg-August University Göttingen, and DZHK (German Centre for Cardiovascular Research), partner site Göttingen, Germany (M.K., F.A., B.W., N.D., G.H., K.S.-B., S. Sossalla)",Universitätsmedizin Göttingen
Clinic for Dermatology Venerology and Allergology Helios Klinikum Hildesheim  Hildesheim Germany,Stiftung Universität Hildesheim
"Clinic for Dermatology, Venerology and Allergology, Helios Klinikum Hildesheim, Hildesheim, Germany",Stiftung Universität Hildesheim
"Clinic for Nephrology and Hypertension, University Hospital Oldenburg, Oldenburg, Lower Saxony, Germany",Carl von Ossietzky Universität Oldenburg
"Clinic for Ophthalmology, Hannover Medical School, Hannover, Germany",Medizinische Hochschule Hannover (MHH)
"Clinic for Ophthalmology, Hannover Medical School, Hannover, Germany. Lubbad.Ahmed@mh-hannover.de",Medizinische Hochschule Hannover (MHH)
"Clinic for Orthopedic and Trauma Surgery, Sports Medicine, Clinic Hannoversch Münden, 34346 Hannoversch Münden, Germany",Medizinische Hochschule Hannover (MHH)
"Clinic for Oto-Rhino-Laryngology, Hannover Medical School, Hannover, Germany",Medizinische Hochschule Hannover (MHH)
"Clinic for Otorhinolaryngology, Medical University of Hannover, Hannover, Germany",Medizinische Hochschule Hannover (MHH)
"Clinic for Pediatric Cardiology and Intensive Care, Hannover Medical school, Hannover, Germany",Medizinische Hochschule Hannover (MHH)
"Clinic for Pneumology, Hannover Medical School, Member of the German Center for Lung Research (DZL), Hannover, Germany",Medizinische Hochschule Hannover (MHH)
"Clinic for Poultry, University of Veterinary Medicine Hannover, Foundation, Hannover, Germany",Stiftung Tierärztliche Hochschule Hannover
"Clinic for Renal and Hypertensive Diseases, Hannover Medical School, Hanover, Germany",Medizinische Hochschule Hannover (MHH)
"Clinic for Rheumatology and Immunology, Hannover Medical School, Hannover, Germany",Medizinische Hochschule Hannover (MHH)
"Clinic of Cardiac Surgery, University Hospital Oldenburg, Oldenburg, Germany",Carl von Ossietzky Universität Oldenburg
"Clinic of Dermatology, Allergology and Venerology, Hannover Medical School, Germany, and",Medizinische Hochschule Hannover (MHH)
"Clinic of Gastroenterology, Gastrointestinal Oncology and Endocrinology, University Medical Center Göttingen, Göttingen, Germany and MVZ Endokrinologikum Göttingen, Göttingen, Germany",Universitätsmedizin Göttingen
"Clinic of Hematology and Medical Oncology/Institute of Diagnostic and Interventional Radiology, University Medical Center Göttingen, Germany",Universitätsmedizin Göttingen
"Clinic of Internal Medicine II, Department of Oncology and Hematology, University Hospital Oldenburg, Oldenburg, Germany",Carl von Ossietzky Universität Oldenburg
"Clinic of Psychiatry, Socialpsychiatry and Psychotherapy, Hannover Medical School, Germany",Medizinische Hochschule Hannover (MHH)
"Clinical Centre Oldenburg, Clinic for Neonatology, Paediatric Intensive Care, Paediatric Cardiology, Paediatric Pneumonology and Allergology, Oldenburg, Germany",Carl von Ossietzky Universität Oldenburg
"Clinical Centre Osnabrueck, Institute of Pathology, 49074 Osnabrueck, Germany",Universität Osnabrück
"Clinical Psychology and Psychotherapy, Department of Psychology, University of Osnabrück, Osnabrück, Germany. Electronic address: henning.schoettke@uni-osnabrueck.de",Hochschule Osnabrück
"Cluster of Excellence ""Multiscale Bioimaging: From Molecular Machines to Networks of Excitable Cells,"" University of Goettingen, Goettingen, Germany",Universitätsmedizin Göttingen
"Cluster of Excellence ""Multiscale Bioimaging: from Molecular Machines to Networks of Excitable Cells"" (MBExC) University of Göttingen Göttingen Germany",Universitätsmedizin Göttingen
"Cluster of Excellence ""Multiscale Bioimaging: from Molecular Machines to Networks of Excitable Cells"" (MBExC), University of Göttingen",Universitätsmedizin Göttingen
"Cluster of Excellence - Resolving Infection Susceptibility, Hannover, Germany",Medizinische Hochschule Hannover (MHH)
"Cluster of Excellence MBExC2067, University of Göttingen, Goettingen, Germany",Georg-August-Universität Göttingen
"Cluster of Excellence PhoenixD (Photonics, Optics, and Engineering–Innovation Across Disciplines), Gottfried Wilhelm Leibniz Universität Hannover, Hannover, Germany",Gottfried Wilhelm Leibniz Universität Hannover
"Cluster of Excellence RESIST (EXC 2155), Hannover Medical School, Hannover, Germany",Medizinische Hochschule Hannover (MHH)
"Cluster of Excellence ‘Multiscale Bioimaging: from Molecular Machines to Networks of Excitable Cells’ (MBExC), University of Göttingen, Göttingen, Germany",Universitätsmedizin Göttingen
"Cluster of Excellence “MBExC"", University of Göttingen, Goettingen, Germany",Georg-August-Universität Göttingen
Cluster of Excellence “Multiscale Bioimaging: from Molecular Machines to Networks of Excitable Cells” (MBExC) University of Göttingen Göttingen Germany,Universitätsmedizin Göttingen
"Cluster of Excellence “Multiscale Bioimaging: from Molecular Machines to Networks of Excitable Cells” (MBExC), University of Goettingen, 37075 Göttingen, Germany",Universitätsmedizin Göttingen
"Coastal Research Center, Joint Research Facility of Leibniz University Hannover and Technische Universität Braunschweig, Hannover, Germany",Gottfried Wilhelm Leibniz Universität Hannover
Cognitive Neuroscience Institute of Neuroscience and Medicine (INM‐2)  Jülich Germany,Georg-August-Universität Göttingen
"Cognitive Psychology, Department of Psychology, School of Medicine and Health Sciences, Carl von Oldenburg 26111 Universität Oldenburg, Oldenburg 26111, Germany",Carl von Ossietzky Universität Oldenburg
